venue_name,base_url,url
Chipotle,https://locations.chipotle.com/nc/charlotte/4022-connection-point-blvd,https://locations.chipotle.com/calendar
Chipotle,https://locations.chipotle.com/nc/charlotte/7724-pineville-matthews-rd,https://locations.chipotle.com/az/peoria/9940-w-happy-valley-pkwy
Chipotle,https://locations.chipotle.com/nc/charlotte/7724-pineville-matthews-rd,https://locations.chipotle.com/az/peoria/9940-w-happy-valley-pkwy/order-delivery
Chipotle,https://locations.chipotle.com/nc/charlotte/7724-pineville-matthews-rd,https://locations.chipotle.com/az/phoenix/2470-w-happy-valley-rd
Chipotle,https://locations.chipotle.com/nc/charlotte/7724-pineville-matthews-rd,https://locations.chipotle.com/az/phoenix/2470-w-happy-valley-rd/order-delivery
Chipotle,https://locations.chipotle.com/nc/charlotte/7724-pineville-matthews-rd,https://locations.chipotle.com/id/nampa/1260-n-happy-valley-rd
Chipotle,https://locations.chipotle.com/nc/charlotte/7724-pineville-matthews-rd,https://locations.chipotle.com/md/baltimore/post-security-ab-concourse-food-court/order-delivery
Chipotle,https://locations.chipotle.com/nc/charlotte/7724-pineville-matthews-rd,https://locations.chipotle.com/or/happy-valley
Chipotle,https://locations.chipotle.com/nc/charlotte/7724-pineville-matthews-rd,https://locations.chipotle.com/or/happy-valley/12130-se-82nd-ave
Chipotle,https://locations.chipotle.com/nc/charlotte/7724-pineville-matthews-rd,https://locations.chipotle.com/or/happy-valley/12130-se-82nd-ave/order-delivery
Chipotle,https://locations.chipotle.com/nc/charlotte/7724-pineville-matthews-rd,https://locations.chipotle.com/or/happy-valley/17015-se-sunnyside-rd
Chipotle,https://locations.chipotle.com/nc/charlotte/7724-pineville-matthews-rd,https://locations.chipotle.com/or/happy-valley/17015-se-sunnyside-rd/order-delivery
Chipotle,https://locations.chipotle.com/nc/charlotte/7724-pineville-matthews-rd,https://locations.chipotle.com/menu
Chipotle,https://locations.chipotle.com/nc/charlotte/7724-pineville-matthews-rd,https://locations.chipotle.com/menus
Chipotle,https://locations.chipotle.com/nc/charlotte/7724-pineville-matthews-rd,https://locations.chipotle.com/food
Chipotle,https://locations.chipotle.com/nc/charlotte/7724-pineville-matthews-rd,https://locations.chipotle.com/drinks
Chipotle,https://locations.chipotle.com/nc/charlotte/7724-pineville-matthews-rd,https://locations.chipotle.com/specials
Chipotle,https://locations.chipotle.com/nc/charlotte/7724-pineville-matthews-rd,https://locations.chipotle.com/deals
Chipotle,https://locations.chipotle.com/nc/charlotte/7724-pineville-matthews-rd,https://locations.chipotle.com/happy-hour
Chipotle,https://locations.chipotle.com/nc/charlotte/7724-pineville-matthews-rd,https://locations.chipotle.com/happyhour
Chipotle,https://locations.chipotle.com/nc/charlotte/7724-pineville-matthews-rd,https://locations.chipotle.com/events
Chipotle,https://locations.chipotle.com/nc/charlotte/7724-pineville-matthews-rd,https://locations.chipotle.com/calendar
Chipotle,https://locations.chipotle.com/nc/charlotte/4400-sharon-rd,https://locations.chipotle.com/az/peoria/9940-w-happy-valley-pkwy
Chipotle,https://locations.chipotle.com/nc/charlotte/4400-sharon-rd,https://locations.chipotle.com/az/peoria/9940-w-happy-valley-pkwy/order-delivery
Chipotle,https://locations.chipotle.com/nc/charlotte/4400-sharon-rd,https://locations.chipotle.com/az/phoenix/2470-w-happy-valley-rd
Chipotle,https://locations.chipotle.com/nc/charlotte/4400-sharon-rd,https://locations.chipotle.com/az/phoenix/2470-w-happy-valley-rd/order-delivery
Chipotle,https://locations.chipotle.com/nc/charlotte/4400-sharon-rd,https://locations.chipotle.com/id/nampa/1260-n-happy-valley-rd
Chipotle,https://locations.chipotle.com/nc/charlotte/4400-sharon-rd,https://locations.chipotle.com/md/baltimore/post-security-ab-concourse-food-court/order-delivery
Chipotle,https://locations.chipotle.com/nc/charlotte/4400-sharon-rd,https://locations.chipotle.com/or/happy-valley
Chipotle,https://locations.chipotle.com/nc/charlotte/4400-sharon-rd,https://locations.chipotle.com/or/happy-valley/12130-se-82nd-ave
Chipotle,https://locations.chipotle.com/nc/charlotte/4400-sharon-rd,https://locations.chipotle.com/or/happy-valley/12130-se-82nd-ave/order-delivery
Chipotle,https://locations.chipotle.com/nc/charlotte/4400-sharon-rd,https://locations.chipotle.com/or/happy-valley/17015-se-sunnyside-rd
Chipotle,https://locations.chipotle.com/nc/charlotte/4400-sharon-rd,https://locations.chipotle.com/or/happy-valley/17015-se-sunnyside-rd/order-delivery
Chipotle,https://locations.chipotle.com/nc/charlotte/4400-sharon-rd,https://locations.chipotle.com/menu
Chipotle,https://locations.chipotle.com/nc/charlotte/4400-sharon-rd,https://locations.chipotle.com/menus
Chipotle,https://locations.chipotle.com/nc/charlotte/4400-sharon-rd,https://locations.chipotle.com/food
Chipotle,https://locations.chipotle.com/nc/charlotte/4400-sharon-rd,https://locations.chipotle.com/drinks
Chipotle,https://locations.chipotle.com/nc/charlotte/4400-sharon-rd,https://locations.chipotle.com/specials
Chipotle,https://locations.chipotle.com/nc/charlotte/4400-sharon-rd,https://locations.chipotle.com/deals
Chipotle,https://locations.chipotle.com/nc/charlotte/4400-sharon-rd,https://locations.chipotle.com/happy-hour
Chipotle,https://locations.chipotle.com/nc/charlotte/4400-sharon-rd,https://locations.chipotle.com/happyhour
Chipotle,https://locations.chipotle.com/nc/charlotte/4400-sharon-rd,https://locations.chipotle.com/events
Chipotle,https://locations.chipotle.com/nc/charlotte/4400-sharon-rd,https://locations.chipotle.com/calendar
Chipotle,https://locations.chipotle.com/nc/charlotte/9335-n-tryon-st,https://locations.chipotle.com/az/peoria/9940-w-happy-valley-pkwy
Chipotle,https://locations.chipotle.com/nc/charlotte/9335-n-tryon-st,https://locations.chipotle.com/az/peoria/9940-w-happy-valley-pkwy/order-delivery
Chipotle,https://locations.chipotle.com/nc/charlotte/9335-n-tryon-st,https://locations.chipotle.com/az/phoenix/2470-w-happy-valley-rd
Chipotle,https://locations.chipotle.com/nc/charlotte/9335-n-tryon-st,https://locations.chipotle.com/az/phoenix/2470-w-happy-valley-rd/order-delivery
Chipotle,https://locations.chipotle.com/nc/charlotte/9335-n-tryon-st,https://locations.chipotle.com/id/nampa/1260-n-happy-valley-rd
