venue_name,street,neighborhood_hint,website,scrape_allowed,robots_url,google_maps,search_query,note
Rhino Market & Deli,,,,,,https://www.google.com/maps/search/?api=1&query=Rhino%20Market%20%26%20Deli%20%20Charlotte%20NC,"Rhino Market & Deli  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Sun's Kitchen 老孫家,3216 South Boulevard,,https://www.suns.kitchen/,false,https://www.suns.kitchen/robots.txt,https://www.google.com/maps/search/?api=1&query=Sun's%20Kitchen%20%E8%80%81%E5%AD%AB%E5%AE%B6%203216%20South%20Boulevard%20Charlotte%20NC,"Sun's Kitchen 老孫家 3216 South Boulevard Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Night Swim Coffee,1824 North Brevard Street,28206,https://nightswimcoffee.com/,false,https://nightswimcoffee.com/robots.txt,https://www.google.com/maps/search/?api=1&query=Night%20Swim%20Coffee%20%20Charlotte%20NC,"Night Swim Coffee  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Humbug,,,,,,https://www.google.com/maps/search/?api=1&query=Humbug%20%20Charlotte%20NC,"Humbug  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Foxcroft Wine Co.,,,,,,https://www.google.com/maps/search/?api=1&query=Foxcroft%20Wine%20Co.%20%20Charlotte%20NC,"Foxcroft Wine Co.  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Flower Child,15120 Bowl Street,,https://www.iamaflowerchild.com,false,https://www.iamaflowerchild.com/robots.txt,https://www.google.com/maps/search/?api=1&query=Flower%20Child%2015120%20Bowl%20Street%20Charlotte%20NC,"Flower Child 15120 Bowl Street Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
North Italia,15120 Bowl Street,28277,,,,https://www.google.com/maps/search/?api=1&query=North%20Italia%2015120%20Bowl%20Street%20Charlotte%20NC,"North Italia 15120 Bowl Street Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
(Unnamed),3543 Dewitt Lane,28217,https://www.phatburrito.com/,true,https://www.phatburrito.com/robots.txt,https://www.google.com/maps/search/?api=1&query=(Unnamed)%203543%20Dewitt%20Lane%20Charlotte%20NC,"(Unnamed) 3543 Dewitt Lane Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Red Ginger,401 South Tryon Street,28202,https://www.redgingercharlotte.com,,https://www.redgingercharlotte.com/robots.txt,https://www.google.com/maps/search/?api=1&query=Red%20Ginger%20401%20South%20Tryon%20Street%20Charlotte%20NC,"Red Ginger 401 South Tryon Street Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
The Halal Guys,,,https://thehalalguys.com,false,https://thehalalguys.com/robots.txt,https://www.google.com/maps/search/?api=1&query=The%20Halal%20Guys%20%20Charlotte%20NC,"The Halal Guys  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Cakeable Cafe,401 North Tryon Street,28202,https://wearecakeable.org,true,https://wearecakeable.org/robots.txt,https://www.google.com/maps/search/?api=1&query=Cakeable%20Cafe%20401%20North%20Tryon%20Street%20Charlotte%20NC,"Cakeable Cafe 401 North Tryon Street Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Luisa's Brick Over Pizzeria,,,https://www.luisasbrickovenpizzeriamenu.com,,https://www.luisasbrickovenpizzeriamenu.com/robots.txt,https://www.google.com/maps/search/?api=1&query=Luisa's%20Brick%20Over%20Pizzeria%20%20Charlotte%20NC,"Luisa's Brick Over Pizzeria  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Madison Perk Coffee Bar,5033 South Boulevard,28217,https://www.themadperk.com/,,https://www.themadperk.com/robots.txt,https://www.google.com/maps/search/?api=1&query=Madison%20Perk%20Coffee%20Bar%205033%20South%20Boulevard%20Charlotte%20NC,"Madison Perk Coffee Bar 5033 South Boulevard Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
El Puro,,,,,,https://www.google.com/maps/search/?api=1&query=El%20Puro%20%20Charlotte%20NC,"El Puro  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Jasmine Grill,,,,,,https://www.google.com/maps/search/?api=1&query=Jasmine%20Grill%20%20Charlotte%20NC,"Jasmine Grill  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Crave Hot Dogs & BBQ,,,,,,https://www.google.com/maps/search/?api=1&query=Crave%20Hot%20Dogs%20%26%20BBQ%20%20Charlotte%20NC,"Crave Hot Dogs & BBQ  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Green Brothers Juice & Smoothie,,,https://www.greenbrothersjuice.com,false,https://www.greenbrothersjuice.com/robots.txt,https://www.google.com/maps/search/?api=1&query=Green%20Brothers%20Juice%20%26%20Smoothie%20%20Charlotte%20NC,"Green Brothers Juice & Smoothie  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Gréco Fresh Grille,,,,,,https://www.google.com/maps/search/?api=1&query=Gr%C3%A9co%20Fresh%20Grille%20%20Charlotte%20NC,"Gréco Fresh Grille  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Baoding,,,,,,https://www.google.com/maps/search/?api=1&query=Baoding%20%20Charlotte%20NC,"Baoding  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Little Mama's Italian,,,,,,https://www.google.com/maps/search/?api=1&query=Little%20Mama's%20Italian%20%20Charlotte%20NC,"Little Mama's Italian  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
BrickTop's,,,https://bricktops.com,false,https://bricktops.com/robots.txt,https://www.google.com/maps/search/?api=1&query=BrickTop's%20%20Charlotte%20NC,"BrickTop's  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Paco's Tacos & Tequila,,,https://www.pacostacosandtequila.com,true,https://www.pacostacosandtequila.com/robots.txt,https://www.google.com/maps/search/?api=1&query=Paco's%20Tacos%20%26%20Tequila%20%20Charlotte%20NC,"Paco's Tacos & Tequila  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Catalina Kitchen + Bar,,,https://www.catalinakb.com,false,https://www.catalinakb.com/robots.txt,https://www.google.com/maps/search/?api=1&query=Catalina%20Kitchen%20%2B%20Bar%20%20Charlotte%20NC,"Catalina Kitchen + Bar  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
The Yard Milkshake Bar,,,,,,https://www.google.com/maps/search/?api=1&query=The%20Yard%20Milkshake%20Bar%20%20Charlotte%20NC,"The Yard Milkshake Bar  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Sanctuary,,,,,,https://www.google.com/maps/search/?api=1&query=Sanctuary%20%20Charlotte%20NC,"Sanctuary  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Noda 101,,,,,,https://www.google.com/maps/search/?api=1&query=Noda%20101%20%20Charlotte%20NC,"Noda 101  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Sprinkle,,,,,,https://www.google.com/maps/search/?api=1&query=Sprinkle%20%20Charlotte%20NC,"Sprinkle  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Open Rice,,,https://www.openriceclt.com,false,https://www.openriceclt.com/robots.txt,https://www.google.com/maps/search/?api=1&query=Open%20Rice%20%20Charlotte%20NC,"Open Rice  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Lost Worlds Brewing,,,https://www.lostworldsbeer.com,false,https://www.lostworldsbeer.com/robots.txt,https://www.google.com/maps/search/?api=1&query=Lost%20Worlds%20Brewing%20%20Charlotte%20NC,"Lost Worlds Brewing  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Thousand Hills Coffee,,,,,,https://www.google.com/maps/search/?api=1&query=Thousand%20Hills%20Coffee%20%20Charlotte%20NC,"Thousand Hills Coffee  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Salata Salad Kitchen,3700 South Boulevard,28217,https://www.salata.com,true,https://www.salata.com/robots.txt,https://www.google.com/maps/search/?api=1&query=Salata%20Salad%20Kitchen%203700%20South%20Boulevard%20Charlotte%20NC,"Salata Salad Kitchen 3700 South Boulevard Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Taco Boy,3700 South Boulevard,28217,https://www.tacoboy.net,false,https://www.tacoboy.net/robots.txt,https://www.google.com/maps/search/?api=1&query=Taco%20Boy%203700%20South%20Boulevard%20Charlotte%20NC,"Taco Boy 3700 South Boulevard Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Brewers At 4001 Yancey,4001 Yancey Road,28217,https://visit.brewersat4001yancey.com,,https://visit.brewersat4001yancey.com/robots.txt,https://www.google.com/maps/search/?api=1&query=Brewers%20At%204001%20Yancey%204001%20Yancey%20Road%20Charlotte%20NC,"Brewers At 4001 Yancey 4001 Yancey Road Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Southern Tier Brewing Co,4001 Yancey Road,28217,https://stbcbeer.com,false,https://stbcbeer.com/robots.txt,https://www.google.com/maps/search/?api=1&query=Southern%20Tier%20Brewing%20Co%204001%20Yancey%20Road%20Charlotte%20NC,"Southern Tier Brewing Co 4001 Yancey Road Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Sixty Vines,1415 Vantage Park Drive,28203,https://www.sixtyvines.com,,https://www.sixtyvines.com/robots.txt,https://www.google.com/maps/search/?api=1&query=Sixty%20Vines%201415%20Vantage%20Park%20Drive%20Charlotte%20NC,"Sixty Vines 1415 Vantage Park Drive Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Waterbean Coffee,300 South Tryon Street,28202,https://www.waterbean.coffee,false,https://www.waterbean.coffee/robots.txt,https://www.google.com/maps/search/?api=1&query=Waterbean%20Coffee%20423%20East%2036th%20Street%20Charlotte%20NC,"Waterbean Coffee 423 East 36th Street Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Dram & Draught,1220 South Tryon Street,28203,https://www.dramanddraught.com,false,https://www.dramanddraught.com/robots.txt,https://www.google.com/maps/search/?api=1&query=Dram%20%26%20Draught%201220%20South%20Tryon%20Street%20Charlotte%20NC,"Dram & Draught 1220 South Tryon Street Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
The Rose Honky Tonk,200 East Bland Street,28203,,,,https://www.google.com/maps/search/?api=1&query=The%20Rose%20Honky%20Tonk%20200%20East%20Bland%20Street%20Charlotte%20NC,"The Rose Honky Tonk 200 East Bland Street Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
RuRu's Tacos & Tequila,,,https://www.rurustacosandtequila.com/,,https://www.rurustacosandtequila.com/robots.txt,https://www.google.com/maps/search/?api=1&query=RuRu's%20Tacos%20%26%20Tequila%20%20Charlotte%20NC,"RuRu's Tacos & Tequila  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
El Malo Tacos,,,,,,https://www.google.com/maps/search/?api=1&query=El%20Malo%20Tacos%20%20Charlotte%20NC,"El Malo Tacos  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Biryani Nation,,,,,,https://www.google.com/maps/search/?api=1&query=Biryani%20Nation%20%20Charlotte%20NC,"Biryani Nation  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Bibim,,,,,,https://www.google.com/maps/search/?api=1&query=Bibim%20%20Charlotte%20NC,"Bibim  Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
Novant Health Cafeteria,200 Hawthorne Lane,28204,https://morrisoncafes.compass-usa.com/novant/Pages/Menu.aspx?lid=g7,,https://morrisoncafes.compass-usa.com/robots.txt,https://www.google.com/maps/search/?api=1&query=Novant%20Health%20Cafeteria%20200%20Hawthorne%20Lane%20Charlotte%20NC,"Novant Health Cafeteria 200 Hawthorne Lane Charlotte NC (specials OR ""happy hour"" OR menu OR tacos OR wings)",
